RIC,YearMonth,TotalAdjNbSharesHeld,ETFHoldings,Date,Volatility,Date.1,AmihudRatio,Date.2,Bid,Ask,PctBidAskSpread,RetPast12to1M,Date.3,GrossProfit,TotalAssetsReported,GrossProfitability,Date.4,Close,CompanyMarketCap,PriceToBVPerShare
GEVO.OQ,2012-10-01,3992.0,1.0450261780104713,2012-10-31,0.029935101197224662,2012-10-31,1.5610892052073e-07,2012-10-31,12060.0,12120.0,0.0049627791563275426,-0.7133243606998654,2012-10-31,3961000.0,133030000.0,0.02977523866796963,2012-10-31,12120.0,79604265.04,0.8652050179999999
BCEI.N,2017-04-01,457849.0,1.03698360210183,2017-04-30,0.09054163347846574,2017-04-30,4.796582534409046e-07,2017-04-24,39.11,39.33,0.005609382967873505,-0.7010309278350515,2017-04-24,138798000.0,1134478000.0,0.1223452548220415,2017-04-24,39.2,25088856.015,1.315715068
GEVO.OQ,2013-02-01,3913.0,1.02434554973822,2013-02-28,0.051529288982509074,2013-02-28,6.810485594485996e-08,2013-02-28,11820.0,11880.0,0.005063291139240506,-0.7702297702297702,2013-02-28,3961000.0,133030000.0,0.02977523866796963,2013-02-28,11880.0,81299524.6799999,0.710263807
GEVO.OQ,2012-11-01,3909.0,1.0232984293193716,2012-11-30,0.04741914865856142,2012-11-30,3.2590904873894463e-07,2012-11-30,9540.0,9660.0,0.0125,-0.6715447154471544,2012-11-30,3961000.0,133030000.0,0.02977523866796963,2012-11-30,9600.0,63052883.2,0.573950551
GEVO.OQ,2013-01-01,3841.0,1.0054973821989528,2013-01-31,0.08049983967621903,2013-01-31,1.641351547856109e-07,2013-01-31,13800.0,13860.0,0.0043383947939262466,-0.8225806451612904,2013-01-31,3961000.0,133030000.0,0.02977523866796963,2013-01-31,13800.0,90638519.6,0.8250539170000001
EGLE.OQ,2015-03-01,8951.0,0.9793216630196936,2015-03-31,0.03272574179944735,2015-03-31,2.0559507654124785e-07,2015-03-31,147.8,148.2,0.002702702702702549,-0.9703358396073036,2015-03-31,91591290.0,1723414300.0,0.053145253581799806,2015-03-31,147.8,278154811.28,0.003525353
GEVO.OQ,2012-12-01,3655.0,0.9568062827225132,2012-12-31,0.03770692703135239,2012-12-31,2.9630026903108806e-07,2012-12-31,9240.0,9300.0,0.0064724919093851144,-0.7456279809220986,2012-12-31,3961000.0,133030000.0,0.02977523866796963,2012-12-31,9240.0,60688400.08,0.552427405
CTIC.OQ,2009-11-01,79528.0,0.8236975660279647,2009-11-30,0.03362511105010887,2009-11-30,1.352977027047356e-08,2009-11-30,309.0,312.0,0.00966183574879227,4.9375,2009-11-30,8188000.0,64243000.0,0.12745357470852856,2009-11-30,309.0,591658870.64,-50.585252286999996
CTIC.OQ,2009-09-01,78976.0,0.8179803210771621,2009-09-30,0.04276547777402802,2009-09-30,6.669024624435727e-09,2009-09-30,366.0,369.0,0.00816326530612245,1.2916666666666667,2009-09-30,8188000.0,64243000.0,0.12745357470852856,2009-09-30,369.0,688702064.939999,-10.741047755
INNT.OQ,2018-12-01,748100.0,0.7941613588110403,2018-12-31,0.11066487089454112,2018-12-31,2.2801958282304092e-07,2018-12-31,2.31,2.34,0.012903225806451528,-0.5758564437194127,2018-12-31,-64000.0,677000.0,-0.09453471196454948,2018-12-31,2.31,60224573.64,157.620738560424
CDE.N,2009-04-01,42376687.0,0.7694639296933161,2009-04-30,0.08467169873104825,2009-04-30,1.80085400474552e-08,2009-04-30,13.6,13.8,0.01459854014598548,-0.6938110749185668,2009-04-30,50633000.0,2928121000.0,0.017291976663532688,2009-04-30,13.8,945376522.379999,0.437928107
CDE.N,2009-05-01,42309194.0,0.7682384108365261,2009-05-31,0.05946127470764635,2009-05-31,9.673232448576876e-09,2009-05-25,14.15,14.2,0.0035273368606701188,-0.5591054313099041,2009-05-25,50633000.0,2928121000.0,0.017291976663532688,2009-05-25,14.2,1013693576.56,0.543647809
CDE.N,2009-03-01,42272917.0,0.7675797033028889,2009-03-31,0.09123601178008553,2009-03-31,3.395765562742169e-08,2009-03-31,9.4,9.7,0.03141361256544492,-0.8118811881188118,2009-03-31,50633000.0,2928121000.0,0.017291976663532688,2009-03-31,9.4,573933083.399999,0.298298856
ICHR.OQ,2018-01-01,1119836.0,0.7449185126056009,2018-01-31,0.055623503151823364,2018-01-31,3.341009890719869e-09,2018-01-31,31.91,31.92,0.00031333228889241936,0.5932642487046633,2018-01-31,65395000.0,282491000.0,0.2314941006970133,2018-01-31,31.92,826477811.04,4.2063215210000005
INNT.OQ,2018-09-01,697675.0,0.7406316348195329,2018-09-30,0.09556415127748216,2018-09-30,4.180189881489233e-08,2018-09-24,6.64,6.67,0.0045078888054095045,0.01714285714285716,2018-09-24,-64000.0,677000.0,-0.09453471196454948,2018-09-24,6.66,176128194.71,50.734841212
INNT.OQ,2018-10-01,688799.0,0.7312091295116773,2018-10-31,0.044914525147400686,2018-10-31,7.955598471593221e-08,2018-10-31,4.21,4.24,0.007100591715976391,0.20863563970978555,2018-10-31,-64000.0,677000.0,-0.09453471196454948,2018-10-31,4.21,146278032.96,31.272866984
INNT.OQ,2018-11-01,688771.0,0.7311794055201698,2018-11-30,0.056151079185205316,2018-11-30,2.603742688402578e-07,2018-11-30,2.6,2.63,0.011472275334607956,-0.3716417910447761,2018-11-30,-64000.0,677000.0,-0.09453471196454948,2018-11-30,2.6,67785234.4,177.408623488
INNT.OQ,2018-08-01,676445.0,0.7180944798301486,2018-08-31,0.10405703033567083,2018-08-31,7.587661886381025e-08,2018-08-31,7.11,7.12,0.00140548137737172,-0.339240506329114,2018-08-31,-64000.0,677000.0,-0.09453471196454948,2018-08-31,7.12,183606551.44,52.889029199
INNT.OQ,2018-07-01,668156.0,0.7092951167728238,2018-07-31,0.17541507052806912,2018-07-31,5.6306220930391516e-08,2018-07-31,5.2,5.21,0.0019212295869355976,2.7412698412698413,2018-07-31,-64000.0,677000.0,-0.09453471196454948,2018-07-31,5.22,134131042.44,17.092225799
GEVO.OQ,2013-03-01,3682.0,0.6768382352941177,2013-03-31,0.039064269969618835,2013-03-31,8.616316400037274e-08,2013-03-25,13320.0,13380.0,0.0044943820224719105,-0.7845484221980413,2013-03-25,-8025000.0,156111000.0,-0.0514057305378865,2013-03-25,13320.0,91975219.84,0.906706463
GEVO.OQ,2013-04-01,3558.0,0.6540441176470588,2013-04-30,0.03535403797693682,2013-04-30,4.6543745846951736e-08,2013-04-30,11040.0,11100.0,0.0054200542005420045,-0.7688338493292053,2013-04-30,-8025000.0,156111000.0,-0.0514057305378865,2013-04-30,11070.0,81327854.61,0.7468184929999999
GEVO.OQ,2013-05-01,3548.0,0.6522058823529412,2013-05-31,0.04199624645323238,2013-05-31,1.623729489527651e-07,2013-05-31,10680.0,10740.0,0.0056022408963585435,-0.6960461285008237,2013-05-31,-8025000.0,156111000.0,-0.0514057305378865,2013-05-31,10740.0,78903447.02,0.8976943079999999
GEVO.OQ,2012-04-01,2351.0,0.6154450261780104,2012-04-30,0.02782371172017644,2012-04-30,5.7648986710992466e-08,2012-04-30,57900.0,58020.0,0.002070393374741201,-0.5250645994832042,2012-04-30,3961000.0,133030000.0,0.02977523866796963,2012-04-30,58140.0,259293973.55999905,2.776474163
