,Listing,Earliest
KAHL.PK,1999-03-16,1999-08-04
KEQU.OQ,1980-03-17,1999-08-03
KISB.PK,1994-12-16,1999-08-13
KLIB.PK,1996-11-21,1999-11-09
KSBI.PK,1998-09-16,1999-08-05
KTYB.PK,1995-07-13,1999-08-03
KYZN.PK,1995-08-24,1999-08-03
LARK.OQ,1994-03-28,1999-08-05
LOGN.PK,1995-06-14,1999-08-03
LSFG.PK,1996-10-08,1999-08-18
LYBC.PK,1995-07-10,2000-09-13
MAJJ.PK,1986-10-15,1999-08-03
MBKL.PK,1994-06-03,1999-08-03
MCEM.PK,1994-04-15,1999-08-04
MCHB.PK,1997-04-08,1999-08-11
MCPH.PK,1998-08-10,1999-08-27
MFBP.PK,1994-09-07,1999-08-10
MGPI.OQ,1988-10-21,1999-08-03
MLGF.PK,1996-02-28,1999-08-06
MNAT.PK,1996-11-15,2000-02-09
MNBP.PK,1996-05-10,2000-01-13
MNSB.PK,2005-09-06,2018-05-04
MPB.OQ,1997-12-04,1999-08-10
MRGO.PK,1993-03-18,1999-08-03
MRTI.PK,1985-10-22,1999-08-11
MSBC.PK,1999-03-16,1999-09-08
MYBF.PK,1995-12-01,1999-09-08
NACB.PK,1994-10-14,1999-09-28
NICK.OQ,1994-08-22,1999-08-04
NKSH.OQ,1994-04-13,1999-08-03
NSEC.OQ,1980-03-18,1999-08-09
NSYS.OQ,1993-06-11,1999-08-03
NUBC.PK,1998-02-04,1999-08-20
NUVR.PK,1997-04-25,1999-08-17
NXCN.PK,1997-06-26,1999-08-04
OART.PK,1980-03-20,1999-09-16
OBCI.OQ,1981-03-27,1999-08-03
OMEX.OQ,1996-01-05,1999-08-05
OPOF.OQ,1998-02-12,1999-08-06
PARF.PK,1980-03-26,1999-08-03
PB.N,1998-11-12,1999-08-03
PFIN.OQ,1983-06-24,1999-08-03
PFOH.PK,1994-04-04,1999-08-03
PGC.OQ,1998-02-20,1999-08-05
PNRG.OQ,1980-03-17,1999-08-05
POPE.OQ,1986-02-06,1999-08-05
PPIH.OQ,1989-12-15,1999-08-04
PPSF.PK,1997-04-28,1999-08-04
PRSI.PK,1994-04-11,1999-08-04
PSIX.PK,2007-07-11,2011-08-25
PSSR.PK,1980-03-17,1999-08-23
PTBS.PK,1998-05-21,1999-08-25
PUSH.PK,1995-06-12,1999-08-23
PW.A,1981-05-22,1999-08-05
QEPC.PK,1996-09-18,1999-08-03
QNBC.PK,1994-04-06,1999-08-03
RDGA.PK,1994-04-11,1999-08-26
RDVA.PK,1986-06-26,1999-08-10
RSKIA.PK,1994-04-04,1999-08-03
RSRV.PK,1994-06-03,1999-08-27
SAEX.OQ,2012-03-29,2013-08-30
SBBX.OQ,1998-02-20,1999-08-03
SCND.PK,1994-04-04,1999-08-23
SCPJ.PK,1980-03-17,1999-08-12
SCYT.PK,1997-07-02,1999-08-27
SEBC.PK,1996-11-19,1999-08-04
SHEN.OQ,1994-04-06,1999-08-03
SIMA.PK,1996-02-27,1999-08-04
SNFCA.OQ,1987-08-12,1999-08-05
SNLC.PK,1994-04-05,1999-09-14
SOBS.PK,1994-11-02,1999-08-20
SODI.PK,1995-04-04,1999-08-06
SOTK.PK,1994-04-04,1999-08-06
SPND.PK,1994-11-22,1999-08-10
SQCF.PK,1996-02-05,1999-08-31
SRNN.PK,1995-10-05,1999-08-05
SRYB.PK,1997-02-12,1999-08-06
SVT.A,1981-11-03,1999-08-09
SYNL.OQ,1980-03-17,1999-08-03
SZBI.PK,1995-02-14,1999-08-05
TAYD.OQ,1980-11-05,1999-08-03
TENG.PK,1995-06-26,1999-08-05
TNRK.PK,1994-04-07,1999-08-16
TPRP.PK,1994-05-05,1999-08-10
TWCF.PK,1998-12-23,1999-08-11
TYCB.PK,1997-12-04,2000-05-16
UBNC.PK,1998-11-11,1999-08-05
UBSH.OQ,1993-10-06,1999-08-04
UFMG.PK,1994-03-04,1999-08-03
VLGEA.OQ,1980-03-17,1999-08-04
VSBN.PK,1998-01-15,1999-08-30
VULC.PK,1980-03-17,1999-08-06
WAKE.PK,1996-04-03,1999-08-06
WAYS.PK,1992-08-20,1999-08-03
WDFN.PK,1997-07-03,1999-09-10
WEYS.OQ,1980-03-17,1999-08-05
WMSI.PK,1994-05-06,1999-08-03
YDVL.PK,1999-06-17,2000-03-17
YORW.OQ,1994-04-05,1999-08-04
YVR.OQ,1993-08-02,1999-08-03
