Index,CUSIP,ISIN,OAPermID,RIC,SEDOL,LipperID,Ticker
FBK.MI,,IT0000072170,5000042928,FBK.MI,BNGN9Z1,,FBK
FCT.MI,,IT0001415246,4295875577,FCT.MI,BNG63V4,,FCT
RUF_u.V,74624A108,CA74624A1084,5037478778,,BNZC539,,RUF.UN
SSPG.L,,GB00BGBN7C04,5000008858,SSPG.L,BGBN7C0,,SSPG
NOGN.L,,GB00BGP6Q951,5042944467,NOGN.L,BGP6Q95,,NOG
ISOL.CD,46500L200,CA46500L2003,5043318219,ISOL.CD,BZ0WK33,,ISOL
ANEMr.AT,,GRS513003004,5000928669,ANEMr.AT,BP4W5B2,,ANEMOS
SPI.L,,GB00BNLPYF73,5042945094,SPI.L,BNLPYF7,,SPI
LOG.MC,,ES0105027009,5043324346,LOG.MC,BP3QYZ2,,LOG
IB.MI,,IT0005037905,5037945141,IB.MI,BP4W2B1,,IB
LCMG.MI,,IT0004522162,5043331259,LCMG.MI,BNG6BC1,,LMG
AMPH.L,,GB00BC4F3V69,5043331440,AMPH.L,BC4F3V6,,AMPH
CDGI.MI,,IT0005003782,5043332999,CDGI.MI,BP8Y7C9,,CDG
LIDDS.ST,,SE0001958612,4297914635,LIDDS.ST,B6SDXN6,,LIDDS
MAIL.MI,,IT0005040354,5043332989,MAIL.MI,BPH3ZV2,,MAIL
FFX.L,,GB00BLS0XX25,5043336309,FFX.L,BLS0XX2,,FFX
