,NbSharesOutstanding,AdjNbSharesHeld,PctSharesHeldETF,OtherMutual_AdjNbSharesHeld,Pension_AdjNbSharesHeld,Hedge_AdjNbSharesHeld,PctSharesHeldOtherMutual,PctSharesHeldPension,PctSharesHeldHedge,Volatility,AmihudRatio,AmihudNumerator,AmihudDenominator,Bid,Ask,PctBidAskSpread,RetPast12to1M,RetPast12to7M,GrossProfit,TotalAssetsReported,GrossProfitability,Close,CompanyMarketCap,PriceToBVPerShare,CompanyMarketCap_millions,InvClose,BookToMarketRatio,PctSharesHeldETF_1lag,CompanyMarketCap_1lag,InvClose_1lag,AmihudRatio_1lag,PctBidAskSpread_1lag,BookToMarketRatio_1lag,RetPast12to1M_1lag,RetPast12to7M_1lag,GrossProfitability_1lag,Volatility_1lag,Volatility_2lag,Volatility_3lag,Volatility_4lag,Volatility_std,PctSharesHeldETF_std,PctSharesHeldOtherMutual_std,PctSharesHeldPension_std,PctSharesHeldHedge_std
count,712498.0,444151.0,712445.0,635869.0,66323.0,106857.0,802553.0,828354.0,828126.0,687641.0,537450.0,699183.0,1144030.0,477209.0,477209.0,477209.0,547061.0,558627.0,394730.0,394730.0,394605.0,473041.0,478755.0,478755.0,478755.0,473041.0,478755.0,708348.0,474375.0,468774.0,533379.0,473051.0,474375.0,543180.0,554652.0,391323.0,682915.0,678248.0,673567.0,668922.0,687572.0,712373.0,802472.0,828267.0,828041.0
mean,140803546.98464277,4697249.731532744,0.019029798184724517,32871321.081192825,212197.8263498334,87515.39425587468,0.18182815687322954,3.790583464265588e-05,9.77482708284321e-05,0.13483316642481963,0.017718964060685672,0.13735002158316575,8466831.64490219,39145.99594938691,39238.653842644875,0.008946673249008257,0.1406712490807657,-0.07883750856672304,1389540018.85123,7772498543.028358,-0.6474361267494606,5791.961403185028,5920103855.146464,207.7704261776623,592.0103855146475,0.09939836896697384,1.6752633629684437,0.01879248375484018,5913683864.754145,0.09906553865998786,0.017854149136298725,0.008946761923869376,1.5509123195833756,0.14170080852835332,-0.07935795823207606,-0.65547443061726,0.13517375649755992,0.13545124317969093,0.1358078830968809,0.13623534652578914,9.542295543027044e-15,5.470908326022777e-13,-3.7772235767351825e-14,-4.596097062268466e-13,-9.141540593910888e-15
std,522088903.49820733,16419149.370617418,0.03239683220072854,108506136.6266471,598261.486953446,247508.8417460153,7.084717320302529,0.0003731840187157205,0.0035853343005303696,16.187047618480744,5.814635452905612,4.222101095824032,70522429.98674935,4943837.169504664,4952684.634982523,0.026255500928529713,1.5112792294230117,16.074927869279026,5678430183.978708,66314430810.45871,210.39513602703033,517892.2689818871,33964759355.070236,122413.09977543172,3396.4759355070255,0.13624566335181595,311.78743903230924,0.032044312328833424,33979638860.997314,0.13556900155207952,5.836783126918179,0.026263754969513015,299.4215156856489,1.515870612470065,16.13237003658612,211.27555841719965,16.24295568791905,16.298635200667817,16.355165746650837,16.411846580574107,0.9999999999998882,0.9999999999998765,1.0000000000007343,1.0000000000032871,0.9999999999950794
min,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-160738484.32183334,0.001,0.06,-0.0625,-1.0,-8025.7326732673255,-7541000000.0,0.0,-46607.545454545456,1.0,12.7061,-14706999.9999999,1.27061e-06,1.1323271425066142e-08,-50344.862306801595,0.0,12.7061,1.1323271425066142e-08,0.0,-0.0625,-50344.862306801595,-1.0,-8025.7326732673255,-46607.545454545456,0.0,0.0,0.0,0.0,-0.6030351689182413,-0.6034088163959376,-0.7120690741795362,-0.1605684942828583,-0.12115954214094615
25%,11444197.5,121359.5,0.0,669215.0,3985.0,3700.0,0.00016896173016811686,0.0,0.0,0.015212880895532657,1.4868499852129452e-09,0.012328083722356643,0.0,9.24,9.33,0.0006190034045188216,-0.1452205882352941,-0.11388329522217999,35054000.0,146618000.0,0.14619257394587792,9.3,147505230.2999995,1.0832031144999998,14.75052302999995,0.027056277056277056,0.2634913971505648,0.0,147496997.04,0.02707092582566324,1.4813782262722869e-09,0.0006228938038026161,0.2636906718162604,-0.14429228828195761,-0.1138850175500693,0.14631423124812998,0.015168433663315451,0.015152800413763547,0.01512102434871516,0.015151077515132016,-0.5155155004138646,-0.6034088163959376,-0.7113152163142775,-0.1605684942828583,-0.12115954214094615
50%,32628000.0,885767.0,0.0021519153501963293,5815612.0,41588.0,18400.0,0.10435876543953274,0.0,0.0,0.02515758911671544,8.751614185872841e-09,0.020271236927653608,12205.584169047617,19.01,19.11,0.00182480893110158,0.06392405063291126,0.03468823153862529,185269000.0,690581000.0,0.2753971192699765,19.22,666038419.92,1.831260879,66.603841992,0.052029136316337155,0.5045705504076162,0.002089571423290067,665735420.069999,0.052002080083203325,8.722468611874293e-09,0.0018331805682859368,0.5043222240245354,0.06481481481481483,0.034839239801733514,0.27571820329560875,0.02509786972266063,0.02506564747200295,0.025044213809511055,0.025083742529337524,-0.4583142344272153,-0.5349264266149668,-0.2433219219480128,-0.1605684942828583,-0.12115954214094615
75%,90697000.0,3500087.0,0.02736669394435352,23402026.0,199544.0,67121.0,0.2735280692788586,0.0,0.0,0.05540432483331528,7.55662440180862e-08,0.054660739294806485,1754861.736072619,36.26,36.37,0.006693440428380163,0.2914438502673798,0.15789473663157882,700118000.0,2885369000.0,0.4505583530570426,36.96,2814342191.435,3.3560997759999998,281.4342191435,0.1075268817204301,0.845100111140198,0.02701850761033937,2812826471.995,0.10738079485377716,7.513093355157321e-08,0.006711367358295004,0.8441748211825786,0.29239766081871343,0.157948198724439,0.450876694152213,0.05544710944186431,0.055525369281358074,0.05569903991066679,0.0559185955170243,-0.284394548302237,0.267625985731803,0.5166334973739469,-0.1605684942828583,-0.12115954214094615
max,19551000000.0,508817332.0,0.9897905759162304,2567075486.0,11645824.0,5903521.0,3037.5409999999997,0.1503847951892886,1.201969365426696,12374.174421579064,3200.0,2916.7980338180337,8951206080.518185,1332517871.5632,1334442657.3408,1.9999999799999983,656.8947368421052,1.0,144023000000.0,3345529000000.0,899.0756185710312,88313700.384,10771807560800.0,71103395.0617283,1077180.75608,1.0,98580.44164037856,0.9897905759162304,10771807560800.0,1.0,3200.0,1.9999999799999983,98580.44164037856,656.8947368421052,1.0,899.0756185710312,12374.174421579064,12374.174421579064,12374.174421579064,12374.174421579064,19.637970897694903,19.59459189933982,62.75772929195351,30.534680781078276,39.303981629400425
